Location,Period,Indicator,First Tooltip
Sweden,2018,Number of incident tuberculosis cases,550 [470-630]
Switzerland,2018,Number of incident tuberculosis cases,540 [470-630]
Syrian Arab Republic,2018,Number of incident tuberculosis cases,3300 [2500-4200]
Tajikistan,2018,Number of incident tuberculosis cases,7600 [5900-9600]
Thailand,2018,Number of incident tuberculosis cases,106000 [81000-136000]
Timor-Leste,2018,Number of incident tuberculosis cases,6300 [4100-9000]
Togo,2018,Number of incident tuberculosis cases,2800 [2300-3400]
Tonga,2018,Number of incident tuberculosis cases,10 [9-12]
Trinidad and Tobago,2018,Number of incident tuberculosis cases,290 [250-340]
Tunisia,2018,Number of incident tuberculosis cases,4000 [3100-5100]
Turkey,2018,Number of incident tuberculosis cases,13000 [11000-15000]
Turkmenistan,2018,Number of incident tuberculosis cases,2700 [2100-3400]
Tuvalu,2018,Number of incident tuberculosis cases,31 [27-36]
Uganda,2018,Number of incident tuberculosis cases,86000 [50000-130000]
Ukraine,2018,Number of incident tuberculosis cases,36000 [23000-51000]
United Arab Emirates,2018,Number of incident tuberculosis cases,99 [85-110]
United Kingdom of Great Britain and Northern Ireland,2018,Number of incident tuberculosis cases,5400 [4800-5900]
United Republic of Tanzania,2018,Number of incident tuberculosis cases,142000 [67000-245000]
United States of America,2018,Number of incident tuberculosis cases,9800 [8400-11000]
Uruguay,2018,Number of incident tuberculosis cases,1200 [990-1300]
Uzbekistan,2018,Number of incident tuberculosis cases,23000 [16000-31000]
Vanuatu,2018,Number of incident tuberculosis cases,130 [100-170]
Venezuela (Bolivarian Republic of),2018,Number of incident tuberculosis cases,14000 [11000-17000]
Viet Nam,2018,Number of incident tuberculosis cases,174000 [111000-251000]
Yemen,2018,Number of incident tuberculosis cases,14000 [12000-15000]
Zambia,2018,Number of incident tuberculosis cases,60000 [39000-86000]
Zimbabwe,2018,Number of incident tuberculosis cases,30000 [22000-39000]
