Country Name,Year,Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)",Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Dentists (headcount) (OECD),"Dentists (per 100,000 population) (OECD)",For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospital beds (number) (OECD),Hospital beds (number) (OECD),"Hospital beds (per 1,000 population) (OECD)","Hospital beds (per 1,000 population) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)",Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population aged 65+) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),Nurses (headcount) (OECD),"Nurses (per 1,000 population) (OECD)",Physicians (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),"Psychiatrists (per 1,000 population) (OECD)",Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),Surgical specialists (headcount) (OECD),"Surgical specialists (per 1,000 population) (OECD)"
Denmark,2015,13962,246,310,5,655,12,13415,236,8165,144,,,,,14380,14380,253,253,258,,,246,23,23,246,4,3414,5865,,,102746,1808,34547,608,,,1089,19,,,3551,62
Denmark,2016,14461,252,317,6,632,11,13922,243,8208,143,,,,,14871,14871,26,26,25,,,242,23,23,242,4,3549,576,,,104415,1823,35626,622,2275,4,1093,19,,,3595,63
Denmark,2017,14621,254,306,5,643,11,14088,244,,,,,,,15037,15037,261,261,247,,,248,23,23,248,4,,,,,,,,,2694,47,,,,,,
Denmark,2018,14011,242,263,5,642,11,13524,234,,,,,,,14429,14429,25,25,257,,,250,22,22,250,4,,,,,,,,,2714,47,,,,,,
Estonia,2015,4841,368,316,24,170,13,6038,459,1698,129,7,532,21,1596,6524,6524,496,496,75,30,2281,1210,491,491,1210,92,868,624,3,228,12846,977,6420,488,730,55,243,18,20,152,1084,82
Estonia,2016,4608,35,313,24,155,12,5793,44,1746,133,7,532,21,1596,6261,6261,476,476,77,30,228,1217,486,486,1217,92,898,6391,3,228,13171,1001,6535,497,707,54,242,18,20,152,1106,84
Estonia,2017,4539,345,313,24,152,12,5720,434,1794,136,7,531,21,1594,6185,6185,469,469,79,30,2277,1203,473,473,1203,91,942,6836,3,228,13509,1025,6662,506,692,53,243,18,20,1518,1119,85
Estonia,2018,,,,,,,,,1823,138,,,,,,,,,,,,,,,,,972,,,,13786,1045,6787,515,,,,,,,,
Finland,2015,1673188,305,130211,24,,,2255206,412,5528,101,77,1405,133,2427,2385417,2385417,435,435,,268,4891,655243,6,6,655243,12,4768,8596,,,107912,1969,,,340791,62,1293,24,191,3486,3088,56
Finland,2016,1613505,294,103701,19,,,207979,378,,,70,1274,125,2275,21835,21835,397,397,,262,4768,527127,469,469,527127,96,,,,,,,,,319025,58,,,192,3494,,
Finland,2017,153974,28,8139,15,,,172581,313,,,79,1434,130,236,180719,180719,328,328,,247,4484,22477,195,195,22477,41,,,,,,,,,21505,39,,,168,305,,
France,2015,213510,321,97497,147,57384,86,253364,381,,,1009,1516,1951,2932,408245,408245,613,613,86,3089,4642,31639,259,259,31639,48,,,690,1037,,,,,57503,86,15068,23,1389,2087,30926,46
France,2016,210003,315,97150,146,56994,85,250104,375,,,1003,1503,1930,2893,404248,404248,606,606,87,3065,4594,31396,25,25,31396,47,,,686,1028,,,,,57335,86,15201,23,1376,2062,31386,47
France,2017,206619,309,96988,145,56482,84,246395,368,,,1002,1499,1916,2865,399865,399865,598,598,89,3046,4555,31507,245,245,31507,47,,,680,1017,,,,,56014,84,15284,23,1364,204,31756,47
France,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15315,23,,,32030,48
Germany,2015,499351,611,199842,245,193286,237,271236,332,94730,116,1323,162,1619,1982,664364,664364,813,813,56,3108,3805,0,0,0,0,0,,,979,1198,,,483766,592,103992,127,22272,27,806,987,93862,115
