Country Name,"2015 Population, total","2016 Population, total","2017 Population, total","2018 Population, total"
Sub-Saharan Africa (IDA & IBRD countries),995458478,1022526541,1050153672,1078306520
Sudan,38902950,39847440,40813396,41801533
Suriname,559143,564888,570496,575991
Sweden,9799186,9923085,10057698,10175214
Switzerland,8282396,8373338,8451840,8513227
Syrian Arab Republic,17997408,17453933,17068002,16906283
Tajikistan,8454028,8663579,8880268,9100837
Tanzania,51482633,53050790,54663906,56318348
Thailand,68714511,68971331,69209858,69428524
Timor-Leste,1196302,1219288,1243261,1267972
Togo,7323158,7509952,7698475,7889094
Tonga,100781,101133,101998,103197
Trinidad and Tobago,1370328,1377564,1384072,1389858
Tunisia,11179949,11303946,11433443,11565204
Turkey,78529409,79821724,81101892,82319724
Turkmenistan,5565287,5662372,5757669,5850908
Turks and Caicos Islands,35981,36559,37115,37665
Tuvalu,11099,11225,11370,11508
Uganda,38225453,39647506,41162465,42723139
Ukraine,45154029,45004645,44831135,44622516
United Arab Emirates,9262900,9360980,9487203,9630959
United Kingdom,65116219,65611593,66058859,66460344
United States,320635163,322941311,324985539,326687501
Upper middle income,2597757681,2617804661,2637690770,2655635719
Uruguay,3412009,3424132,3436646,3449299
Uzbekistan,31298900,31847900,32388600,32955400
Vanuatu,271130,278330,285510,292680
"Venezuela, RB",30081829,29846179,29390409,28870195
Vietnam,92677076,93638724,94596642,95540395
Virgin Islands (U.S.),107710,107510,107268,106977
West Bank and Gaza,4270092,4367088,4454805,4569087
World,7340548192,7426103221,7510990456,7594270356
"Yemen, Rep.",26497889,27168210,27834821,28498687
Zambia,15879361,16363507,16853688,17351822
Zimbabwe,13814629,14030390,14236745,14439018
