Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,France,FRA,68290938861.6469,63728079967.5087,165852088071.189,168490291143.589,184521825603.75,145161108178.662,143977104333.434,138198984338.294,145866068770.183,156322431109.247,166483400196.79,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Gabon,GAB,278707082.300407,193613824.33593,1735883130.08267,2157316878.94114,2351562306.82131,3003573133.33984,2478480387.52702,1863120980.87031,789346604.519222,965054219.212037,1321051088.57443,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Gambia, The",GMB,55386774.693773,109431118.885128,201627626.678787,223241852.815922,236241441.119079,210553598.677805,159330829.415719,111040203.229818,87635582.4178872,169969976.48625,191773260.980301,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Georgia,GEO,..,115965903.579731,2263794873.28055,2818191101.12737,2872949024.40383,2823383516.08606,2699169280.07028,2520721328.46961,2756383662.9152,3038762324.25157,3289463516.7195,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Germany,DEU,104547296415.9,87496869035.2706,215977935889.943,234104084887.41,248856490285.757,198535165663.607,193484758847.919,173730930555.425,184031339953.397,199983070123.869,198027061675.403,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ghana,GHA,309313690.586277,308900898.386218,5158151628.84547,5913600037.24248,5835098328.20187,5587739126.3869,5563709271.19552,5742645886.29529,5866729596.16504,7015187159.64987,6294851564.02725,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Greece,GRC,4721071253.78782,14594006578.5544,6352405963.38906,6743416891.38218,7255024354.91008,5763071364.05671,6236284818.73247,6027606781.10376,6851247713.21209,7803722132.38225,7578500698.89502,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Grenada,GRD,17578888.8888889,57660000,119154979.881368,120710917.736335,119485006.792475,150571015.878707,169949409.726942,197973503.320903,207689282.825893,199125887.285472,233815853.807382,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
